Liar's Poker (Paperback),Michael   Lewis,4.19,57714,1989,business,www.goodreads.com//book/show/7865083-liar-s-poker
Business Adventures,John Brooks,3.75,46885,1969,business,www.goodreads.com//book/show/4191136-business-adventures
The Black Swan: The Impact of the Highly Improbable (Hardcover),Nassim Nicholas Taleb,3.9,142370,2007,business,www.goodreads.com//book/show/242472.The_Black_Swan
Never Eat Alone: And Other Secrets to Success_ One Relationship at a Time (Hardcover),Keith Ferrazzi,3.83,88495,2005,business,www.goodreads.com//book/show/84699.Never_Eat_Alone
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers (Paperback),Geoffrey A. Moore,3.94,45384,1991,business,www.goodreads.com//book/show/61329.Crossing_the_Chasm
The Effective Executive: The Definitive Guide to Getting the Right Things Done (Paperback),Peter F. Drucker,4.04,57591,1966,business,www.goodreads.com//book/show/48019.The_Effective_Executive
The Long Tail: Why the Future of Business is Selling Less of More (Paperback),Chris Anderson,3.79,42548,2006,business,www.goodreads.com//book/show/2467566.The_Long_Tail
Crucial Conversations: Tools for Talking When Stakes Are High (Paperback),Kerry Patterson,3.97,87941,2001,business,www.goodreads.com//book/show/15014.Crucial_Conversations
Shoe Dog: A Memoir by the Creator of NIKE (Hardcover),Phil Knight,4.38,100619,2016,business,www.goodreads.com//book/show/27220736-shoe-dog
Predictably Irrational: The Hidden Forces That Shape Our Decisions (Hardcover),Dan Ariely,4.1,161666,2007,business,www.goodreads.com//book/show/1713426.Predictably_Irrational
Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant (Hardcover),W. Chan Kim,3.88,76199,2004,business,www.goodreads.com//book/show/4898.Blue_Ocean_Strategy
To Sell Is Human: The Surprising Truth About Moving Others (Hardcover),Daniel H. Pink,3.86,41438,2012,business,www.goodreads.com//book/show/13593553-to-sell-is-human
The Art of War (Paperback),Sun Tzu,3.97,416020,-500,business,www.goodreads.com//book/show/10534.The_Art_of_War
The Richest Man in Babylon (Paperback),George S. Clason,4.25,112245,1926,business,www.goodreads.com//book/show/1052.The_Richest_Man_in_Babylon
The World Is Flat: A Brief History of the Twenty-first Century (Hardcover),Thomas L. Friedman,3.67,144362,2005,business,www.goodreads.com//book/show/1911.The_World_Is_Flat
Flash Boys: A Wall Street Revolt (Paperback),Michael   Lewis,4.18,43274,2014,business,www.goodreads.com//book/show/24724602-flash-boys
Charlotte's Web (Paperback),E.B. White,4.15,1517474,1952,children-s,www.goodreads.com//book/show/24178.Charlotte_s_Web
Where the Wild Things Are (Paperback),Maurice Sendak,4.21,876708,1963,children-s,www.goodreads.com//book/show/19543.Where_the_Wild_Things_Are
The Giving Tree (Hardcover),Shel Silverstein,4.37,1046728,1964,children-s,www.goodreads.com//book/show/370493.The_Giving_Tree
Harry Potter and the Sorcerer's Stone (Harry Potter_ #1),J.K. Rowling,4.45,5965551,1997,children-s,www.goodreads.com//book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Green Eggs and Ham (Hardcover),Dr. Seuss,4.3,667203,1960,children-s,www.goodreads.com//book/show/23772.Green_Eggs_and_Ham
Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.29,1351087,1974,children-s,www.goodreads.com//book/show/30119.Where_the_Sidewalk_Ends
The Lion_ the Witch and the Wardrobe (Chronicles of Narnia_ #1),C.S. Lewis,4.2,2053033,1950,children-s,www.goodreads.com//book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Charlie and the Chocolate Factory (Charlie Bucket_ #1),Roald Dahl,4.11,654637,1964,children-s,www.goodreads.com//book/show/6310.Charlie_and_the_Chocolate_Factory
Harry Potter and the Chamber of Secrets (Harry Potter_ #2),J.K. Rowling,4.39,2408475,1998,children-s,www.goodreads.com//book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
